Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/handbags-c6/yellow-t14,89,24907,0.36%,26.38
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/tan-t25,89,13208,0.67%,18.22
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/brampton-m25,87,278556,0.03%,4.62
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/ashwood-m1,86,91637,0.09%,6.48
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78,86,86913,0.1%,20.24
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/navy-t49,86,7464,1.15%,10.06
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/extra-slim-sheepskin-leather-fingerless-glove-black-black-lancy-p4011,85,10313,0.82%,16.4
https://www.leathercompany.co.uk/sale/handbags-c6/ashwood-m1,85,8029,1.06%,25.68
https://www.leathercompany.co.uk/fenland-m10,85,2294,3.71%,8.48
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/ashwood-m1,84,146067,0.06%,5.25
https://www.leathercompany.co.uk/handbags-c6/shopper-bag-c83,84,18819,0.45%,29.77
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ladies-leather-gloves-black-nc-8914-p3926,84,18036,0.47%,25.1
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/oxblood-t78,84,4499,1.87%,8.03
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/blue-t2,83,14206,0.58%,16.54
https://www.leathercompany.co.uk/ladies-c3/ladies-jackets-coats-c181/size-24-t38,83,8964,0.93%,17.84
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/cream-t4,82,7378,1.11%,13.4
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918,80,82966,0.1%,14.47
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-black-zelda-p1241,80,18112,0.44%,12.27
https://www.leathercompany.co.uk/luggage-c7/the-bridge-m7,79,30094,0.26%,5.95
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/green-t6,79,7442,1.06%,13.6
https://www.leathercompany.co.uk/mens-c4/fenland-classic-mens-suede-sheepskin-moccasin-slippers-grey-p4088,78,36215,0.22%,36.3
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ashwood-suede-and-leather-gloves-brown-130-p1635,78,7622,1.02%,12.94
https://www.leathercompany.co.uk/handbags-c6/cheltenham-croc-collection-c177/green-t6,78,2902,2.69%,8.77
https://www.leathercompany.co.uk/mens-c4/leather-tweed-gun-slip-savoy-p6155,78,1319,5.91%,22.54
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/tan-t25,77,47523,0.16%,7.97
