date,Campaign,Interactions,Costs,Clicks
2023-12-23,UK | PMax | Catchall,1607.0,281.97,523.0
2023-12-23,UK | PMax | High ROAS 3.5>,1448.0,239.59,398.0
2023-12-23,UK | PMax | Mens Edinburgh Leather Jacket,272.0,141.68,245.0
2023-12-23,UK | Leather > General,103.0,59.25,103.0
2023-12-23,"UK | PMax | Man Bags, Briefcases > HP",400.0,51.95,83.0
2023-12-23,IRE | PMax | Catchall,170.0,42.19,157.0
2023-12-23,UK | PMax | Zombie 4,97.0,37.28,94.0
2023-12-23,UK | Search | Brand | tROAS,63.0,36.17,63.0
2023-12-23,UK | Shopping | Mens Leather Jackets,117.0,31.29,117.0
2023-12-23,UK | Leather Luggage | Broad,20.0,19.98,20.0
2023-12-23,UK | PMax | Zombie 1,167.0,18.23,44.0
2023-12-23,UK | PMax | Zombie 5,49.0,17.94,48.0
2023-12-23,UK | Ashwood (General),25.0,12.68,25.0
2023-12-23,UK | PMax | Zombie 7,115.0,11.43,41.0
2023-12-23,UK | PMax | Zombie 2,51.0,9.04,38.0
2023-12-23,Store Solihull - DO NOT Touch,794.0,2.61,
2023-12-22,UK | PMax | Catchall,1377.0,359.03,442.0
2023-12-22,UK | PMax | High ROAS 3.5>,1368.0,279.45,417.0
2023-12-22,UK | Leather > General,183.0,130.94,183.0
2023-12-22,UK | PMax | Mens Edinburgh Leather Jacket,286.0,121.1,251.0
2023-12-22,"UK | PMax | Man Bags, Briefcases > HP",340.0,68.96,90.0
2023-12-22,IRE | PMax | Catchall,205.0,67.69,194.0
2023-12-22,UK | Search | Brand | tROAS,45.0,59.22,45.0
2023-12-22,UK | Leather Luggage | Broad,42.0,52.23,42.0
2023-12-22,UK | PMax | Zombie 4,95.0,45.99,87.0
2023-12-22,UK | PMax | Zombie 5,42.0,35.24,40.0
2023-12-22,UK | PMax | Zombie 1,148.0,29.65,51.0
2023-12-22,UK | Leather Bag > Broad,37.0,28.75,37.0
2023-12-22,UK | PMax | Ladies Coats & Jackets > HP,147.0,24.64,32.0
2023-12-22,UK | Ashwood (General),45.0,22.78,45.0
2023-12-22,UK | PMax | Zombie 7,139.0,22.63,36.0
2023-12-22,UK | PMax | Low ROAS <3.5,39.0,22.36,33.0
2023-12-22,UK | Shopping | Mens Leather Jackets,76.0,18.44,76.0
2023-12-22,EU | PMax | Catchall,169.0,18.1,71.0
2023-12-22,UK | PMax | Zombie 2,60.0,17.42,46.0
