"Main Reference","Product Name",Brand,Attributes,"Product Reference","Product Model","Sale Price","Regular Price","RRP Price",Categories,"Num. Categories","Stock Message","Stock Level","Total Images","Product Specific Images","On Sale",Active,Discontinued,"Meta Title","Meta Keywords","Meta Description",Weight,"Friendly URL","Image Location"
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: 6XL",0000581811,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: 7XL",0000581812,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: 8XL",0000581813,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: XXXS",0000140500,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: XXS",0000140501,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 4XL",0000140509,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 5XL",0000140510,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 6XL",0000140511,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 7XL",0000140512,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 8XL",0000140513,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: XXXS",0000143300,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: XXS",0000143301,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: 4XL",0000143309,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: 5XL",0000143310,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: 6XL",0000143311,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: 7XL",0000143312,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: 8XL",0000143313,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: XXXS",0000042100,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: XXS",0000042101,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: 5XL",0000042110,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: 6XL",0000042111,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: 7XL",0000042112,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000421,"Leather Biker Jacket : Cronus Black",Ashwood,"Size: 8XL",0000042113,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-black-cronus-p51,https://www.leathercompany.co.uk/images/products/1447949063-82555500.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: XXXS",0000040700,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: XXS",0000040701,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
