NumberType: GTIN-13,,,,,,,,,
Prefix: 506099970,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060999700188,Active,HARRY | BRIDGE/VT | Size:ONE SIZE,HARRY | BRIDGE/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Bridge/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/medium-weekend-leather-holdall-bridge-vt-harry-p6468,N/A,0002448900,14/11/2022 13:22:52
5060999706685,Active,C-56 | BLACK | Size:ONE SIZE,C-56 | BLACK | Size:ONE SIZE | Ashwood Leather Crocodile Print Shopper Bag Black: C-56,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shopper-bag-black-c-56-p5433,N/A,0004150700,16/05/2023 11:55:54
5060999706715,Active,C-56 | TAN | Size:ONE SIZE,C-56 | TAN | Size:ONE SIZE | Ashwood Leather Crocodile Print Shopper Bag Tan: C-56,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-crocodile-print-shopper-bag-tan-c-56-p5436,N/A,0004150800,16/05/2023 12:00:37
5060999706722,Active,C-56 | TEAL | Size:ONE SIZE,C-56 | TEAL | Size:ONE SIZE | Ashwood Leather Crocodile Print Shopper Bag Teal: C-56,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shopper-bag-teal-c-56-p5437,N/A,0004150900,16/05/2023 12:02:12
5060999706708,Active,C-56 | GREEN | Size:ONE SIZE,C-56 | GREEN | Size:ONE SIZE | Ashwood Leather Crocodile Print Shopper Bag Green: C-56,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shopper-bag-green-c-56-p5435,N/A,0004151000,16/05/2023 11:59:17
5060999706395,Active,C-51 | BORDUEX | Size:ONE SIZE,C-51 | BORDUEX | Size:ONE SIZE | Ashwood Crocodile Print Leather Backpack Bordeaux: C-51,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-leather-backpack-bordeaux-c-51-p5409,N/A,0004151200,11/05/2023 16:23:09
5060999706524,Active,C-52 | BORDUEX | Size:ONE SIZE,C-52 | BORDUEX | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004151300,15/05/2023 14:33:35
5060999706548,Active,C-53 | BORDUEX | Size:ONE SIZE,C-53 | BORDUEX | Size:ONE SIZE | Ashwood Crocodile Print Zip Around Leather Tote Bag Bordeaux: C-53,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-crocodile-print-zip-around-leather-tote-bag-bordeaux-c-53-p5419,N/A,0004151400,15/05/2023 15:32:37
5060999706593,Active,C-54 | BORDUEX | Size:ONE SIZE,C-54 | BORDUEX | Size:ONE SIZE | Ashwood Leather Crocodile Print Two Section With Mid Purse Bag Bordeaux: C-54,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-bordeaux-c-54-p5424,N/A,0004151500,15/05/2023 16:14:24
5060999706647,Active,C-55 | BORDUEX | Size:ONE SIZE,C-55 | BORDUEX | Size:ONE SIZE | Ashwood Leather Crocodile Print Shoulder Bag Bordeaux: C-55,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shoulder-bag-bordeaux-c-55-p5429,N/A,0004151600,16/05/2023 10:48:17
5060999706692,Active,C-56 | BORDUEX | Size:ONE SIZE,C-56 | BORDUEX | Size:ONE SIZE | Ashwood Leather Crocodile Print Shopper Bag Bordeaux: C-56,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shopper-bag-bordeaux-c-56-p5434,N/A,0004151700,16/05/2023 11:57:13
5060999708245,Active,AWL-281 | BLACK | Size:8,AWL-281 | BLACK | Size:8 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170101,14/07/2023 09:31:00
5060999708252,Active,AWL-281 | BLACK | Size:10,AWL-281 | BLACK | Size:10 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170102,14/07/2023 09:31:58
