# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240131
# End date: 20240227
Landing page,Sessions,Users,New users,Engagement rate,Bounce rate,Average engagement time per session,Conversions,Total revenue
/handbags-c6/ashwood-c30/ashwood-womens-three-section-leather-shoulder-bag-black-v-31-p5294/s16712,297,199,160,0.531986531986532,0.468013468013468,33.57912457912458,1,156.74
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1260,293,215,164,0.5119453924914675,0.4880546075085324,30.92491467576792,1,149
/luggage-c7,290,269,190,0.6827586206896552,0.31724137931034485,127.1,2,302
/handbags-c6/backpacks-c89/large-vintage-leather-backpack-honey-g28-p3755/s13672,279,247,208,0.6810035842293907,0.31899641577060933,59.494623655913976,3,353.97
/mens-c4/mens-jackets-coats-c182,273,230,174,0.684981684981685,0.315018315018315,72.71428571428571,0,0
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,272,243,206,0.7095588235294118,0.29044117647058826,36.3860294117647,2,112.96
/gift-accessories-c8/purses-c36,266,243,213,0.7556390977443609,0.24436090225563908,66.3609022556391,1,58.48
/handbags-c6/tablet-friendly-medium-vintage-leather-bag-brandy-d-91-p6963/s20712,262,199,131,0.5992366412213741,0.40076335877862596,38.152671755725194,0,0
/ladies-c3/vintage-leather-cross-body-shoulder-bag-honey-g22-p3614/s13045,262,211,170,0.583969465648855,0.41603053435114506,33.47709923664122,0,0
/luggage-c7/mens-weekend-leather-travel-holdall-chestnut-vt-albert-p628/s4095,261,226,195,0.6168582375478927,0.3831417624521073,41.64750957854406,0,0
/gift-accessories-c8/purses-c36/medium-purses-c95/vintage-woven-leather-medium-18-card-purse-orange-d-83-p4298/s15019,257,214,185,0.3968871595330739,0.603112840466926,20.151750972762645,1,31.97
/mens-c4/man-bags-briefcases-c12/washbags-c114/vintage-oily-hanging-leather-wash-bag-tweed-liam-wb-p6235/s19040,254,233,205,0.4645669291338583,0.5354330708661418,21.515748031496063,0,0
/handbags-c6/cross-body-bag-c87,252,231,175,0.6825396825396826,0.31746031746031744,98.02380952380952,1,61.74
/handbags-c6/shoulder-bag-c86,245,226,192,0.6775510204081633,0.3224489795918367,69.16734693877551,1,75
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,244,220,197,0.45901639344262296,0.5409836065573771,25.348360655737704,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s2675,241,201,166,0.6016597510373444,0.3983402489626556,37.684647302904565,1,149
/ladies-c3/ashwood-three-pocket-leather-sling-bag-honey-t-75-p6791/s20143,238,195,145,0.5504201680672269,0.4495798319327731,39.85294117647059,0,0
/ladies-c3/leather-jackets-c9/gillian-duffle-leather-coat-brown-app-p90/s634,238,192,141,0.5546218487394958,0.44537815126050423,34.58403361344538,0,0
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-black-p189/s1034,227,175,145,0.4977973568281938,0.5022026431718062,36.16740088105727,2,94.96
/sheepskin-fur-c5/ashwood-lucky-sheep-mink-p6016/s18524,221,200,154,0.5475113122171946,0.45248868778280543,22.85972850678733,0,0
/luggage-c7/wash-toiletry-bags-c55,220,205,186,0.7772727272727272,0.22272727272727272,76.91363636363636,6,290.36
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1269,220,205,144,0.6272727272727273,0.37272727272727274,33.71363636363636,1,169
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1241,219,200,151,0.5844748858447488,0.4155251141552511,50.76712328767123,0,0
/mens-c4/leather-gun-slip-brandy-savoy-p2421/s9664,214,172,152,0.35046728971962615,0.6495327102803738,11.336448598130842,0,0
/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595/s4062,213,190,158,0.5070422535211268,0.49295774647887325,51.53051643192488,0,0
/mens-c4/leather-jackets-c25/brown-t3,201,193,172,0.7114427860696517,0.2885572139303483,40.9452736318408,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1259,201,172,129,0.5671641791044776,0.43283582089552236,42.76119402985075,0,0
/handbags-c6/ashwood-c30/large-vintage-leather-backpack-brandy-g28-p3629/s13060,199,172,137,0.49748743718592964,0.5025125628140703,23.884422110552762,0,0
/sheepskin-fur-c5,199,181,119,0.6482412060301508,0.35175879396984927,122.20603015075378,1,399
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s764,198,154,121,0.4797979797979798,0.5202020202020202,18.88888888888889,0,0
/mens-c4/leather-jackets-c25/biker-styles-c97/vintage-leather-biker-jacket-blue-black-jaxon-p3014/s10593,197,171,150,0.4416243654822335,0.5583756345177665,18.771573604060915,0,0
/ladies-c3/sheepskin-jackets-c11/toscana-suede-leather-biker-gilet-tan-kimi-p1008/s5662,196,169,139,0.47959183673469385,0.5204081632653061,23.255102040816325,0,0
/mens-c4/man-bags-briefcases-c12/ashwood-mens-leather-washbag-chestnut-vt-2012-p590/s4057,194,171,132,0.6597938144329897,0.3402061855670103,46.896907216494846,3,144.95
/ladies-c3/purses-c22/14-card-rfid-protected-xl-leather-purse-two-tone-tan-s2-p6714/s20044,193,166,134,0.6010362694300518,0.39896373056994816,35.50259067357513,2,89.96
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-navy-d-84-p4306/s15027,191,160,115,0.5654450261780105,0.43455497382198954,33.29319371727749,0,0
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5017,191,177,160,0.5130890052356021,0.4869109947643979,38.246073298429316,0,0
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,190,168,150,0.7052631578947368,0.29473684210526313,34.33684210526316,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14172,190,156,129,0.5842105263157895,0.41578947368421054,28.55263157894737,0,0
/gift-accessories-c8/mens-gloves-c37,183,177,160,0.7486338797814208,0.25136612021857924,70.4207650273224,2,64.96
/mens-c4/leather-jackets-c25/bomber-styles-c99,180,168,131,0.7055555555555556,0.29444444444444445,72.63333333333334,0,0
/mens-c4/mens-waistcoats-c58,180,164,139,0.7222222222222222,0.2777777777777778,74.62222222222222,1,195
/luggage-c7/leather-tablet-a4-sleeves-c151/vintage-leather-luxury-a4-metal-binder-sleeve-tan-noah-p2932/s10363,177,155,146,0.655367231638418,0.3446327683615819,36.69491525423729,1,70
/mens-c4/mens-leather-jacket-oxblood-mink-p5283/s16682,174,143,113,0.5689655172413793,0.43103448275862066,27.50574712643678,0,0
/ladies-c3/ladies-waistcoats-c47,171,163,142,0.5964912280701754,0.40350877192982454,54.92397660818713,0,0
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,170,158,142,0.7176470588235294,0.2823529411764706,42.917647058823526,0,0
/january-sale-2024-c164,169,64,50,0.40236686390532544,0.5976331360946746,8.52662721893491,0,0
/mens-c4/man-bags-briefcases-c12/ashwood-mens-3-pocket-luxury-small-leather-flight-bag-black-jack-p659/s4126,169,112,83,0.42011834319526625,0.5798816568047337,15.266272189349113,1,43.99
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17048,168,158,143,0.625,0.375,61.80357142857143,1,169.99
