# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Landing page,Country,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/sheepskin-fur-c5/ashwood-sheepskin-seat-pad-mink-p4382/s15187,United Kingdom,1274,1183,1060,0.7331240188383046,41.62166405023548,28,1007.72
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1260,United Kingdom,1267,1113,926,0.6416732438831886,60.55011838989739,6,810.55
/newsletter/unsubscribe,United Kingdom,1253,1153,986,0.7023144453312051,10.704708699122106,0,0
/contact-us-i3,United Kingdom,1252,889,412,0.4249201277955272,64.11022364217253,20,2155.39
/mens-c4/leather-jackets-c25/bomber-styles-c99,United Kingdom,1244,1117,890,0.7106109324758842,86.9815112540193,7,899.1
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,United Kingdom,1237,1086,922,0.6580436540016168,53.71220695230396,13,3200.685361
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,United Kingdom,1222,1136,1049,0.48527004909983634,28.529459901800326,1,169
/mens-c4/mens-leather-sheepskin-gloves-nap-brown-db-705-p6548/s19760,United Kingdom,1217,1111,978,0.7041906327033689,63.338537387017254,38,984.32
/ladies-c3/14-card-rfid-protected-large-leather-purse-navy-s1-p6706/s20036,United Kingdom,1210,1090,912,0.675206611570248,40.04710743801653,20,841.31
/mens-c4/leather-jackets-c25/trapper-m33,United Kingdom,1196,1034,927,0.697324414715719,70.45568561872909,4,967
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17961,United Kingdom,1191,1072,938,0.5289672544080605,39.510495382031905,0,0
/ladies-c3/leather-jackets-c9/ashwood-m1,United Kingdom,1190,1075,940,0.7168067226890756,81.34453781512605,6,884.99
/ladies-c3/leather-jackets-c9/biker-styles-c78/womens-leather-biker-jacket-brown-tavira-p3282/s11949,United Kingdom,1187,1107,946,0.6714406065711879,61.71693344566133,20,1119.721406
