Target page,Incoming links,Linking sites,Type
mens-c4/leather-hunting-trapper-hat-with-sheepskin-fur-black-brissa-dakota-p4396,22,18,Product
mens-c4/leather-vintage-small-flight-shoulder-bag-tan-f-81-p2416,22,18,Product
ladies-c3/ashwood-vintage-woven-leather-shoulder-bag-red-d-77-p6380,21,13,Product
mens-c4/mens-leather-belts-c49/ashwood-vegetable-tanned-classic-leather-brogue-belt-tan-1997-p2557,21,17,Product
luggage-c7/manbags-briefcases-c64/unisex-leather-backpack-rucksack-brandy-beige-p6452,20,5,Product
mens-c4/monomoi-mens-leather-denim-style-jacket-blue-james-p6114,18,14,Product
mens-c4/leather-biker-jacket-tan-hard-knott-p5377,17,12,Product
ladies-c3/split-suede-biker-jacket-tan-rebel-p5465,16,13,Product
gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-714-p179,16,13,Product
ladies-c3/ladies-leather-biker-jacket-black-perfecto-p6681,15,15,Product
mens-c4/leather-detachable-hood-puffer-jacket-cognac-nello-p6539,14,12,Product
gift-accessories-c8/wallets-c16/vegetable-tanned-6-card-zip-coin-tri-fold-leather-wallet-brown-1265-vt-p165,13,8,Product
ladies-c3/sheepskin-jackets-c11/shearling-style-c111/womens-luxury-side-zip-toscana-suede-sheepskin-pilot-jacket-ombre-blue-lyanna-p3214,13,10,Product
mens-c4/man-bags-briefcases-c12/backpacks-c116/vegetable-tanned-leather-backpack-chestnut-11319-p2452,12,10,Product
ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-brown-sophia-p99,12,12,Product
mens-c4/luxury-sheepskin-pilot-jacket-antique-nc-air-force-p5818,12,10,Product
ladies-c3/vintage-small-leather-travel-shoulder-bag-brandy-g24-p3619,11,9,Product
handbags-c6/the-bridge-c14/italian-leather-backpack-blue-ruthenium-63616-01-6b-nh-p2329,11,11,Product
luggage-c7/backpacks-rucksacks-c52/unisex-leather-vintage-backpack-tan-f-86-p2400,11,8,Product
mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074,10,9,Product
mens-c4/man-bags-briefcases-c12/unisex-medium-luxury-leather-sling-bag-brandy-g-39-p6296,10,9,Product
handbags-c6/ashwood-leather-crocodile-print-shopper-bag-teal-c-56-p5437,9,6,Product
mens-c4/sheepskin-jackets-c26/lambskin-leather-and-sheepskin-lined-hooded-jacket-odin-p1355,9,6,Product
sheepskin-fur-c5/ladies-sheepskin-jackets-c13/womens-oversized-sheepskin-flying-jacket-grey-khloe-p3002,9,3,Product
ladies-c3/sheepskin-jackets-c11/shearling-style-c111/womens-luxury-side-zip-sheepskin-pilot-jacket-tan-caitlin-p3223,8,8,Product
mens-c4/leather-jackets-c25/leather-biker-jacket-black-bronx-p540,8,6,Product
ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-jacket-mid-brown-nap-chambery-p3284,8,6,Product
ladies-c3/fitted-leather-gilet-with-faux-fur-collar-black-snu-cumbria-p4415,8,8,Product
ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391,8,8,Product
ladies-c3/accessories-c24/gloves-c102/ashwood-zip-and-stitch-detail-leather-gloves-purple-373-p1693,8,7,Product
gift-accessories-c8/mens-leather-belts-c50/ashwood-vegetable-tanned-leather-classic-belt-tan-1996-p2550,7,7,Product
ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-suede-leather-trousers-sand-sue-766-p3338,7,7,Product
ladies-c3/long-skeepskin-overcoat-coco-brown-celine-p4405,7,7,Product
mens-c4/man-bags-briefcases-c12/flight-bags-c118/a4-leather-messenger-bag-black-jp-body-bag-p3670,7,7,Product
