NumberType: GTIN-13,,,,,,,,,
Prefix: 506047452,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060474522199,Active,F-86 | TAN | Size:ONE SIZE,F-86 | TAN | Size:ONE SIZE | Unisex Leather Vintage Backpack Tan : F-86,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/unisex-leather-vintage-backpack-tan-f-86-p2400,N/A,0003178500,20/06/2020 11:11:49
5060474522182,Active,F-86 | BRANDY | Size:ONE SIZE,F-86 | BRANDY | Size:ONE SIZE | Unisex Leather Vintage Backpack Brandy : F-86,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/unisex-leather-vintage-backpack-brandy-f-86-p2399,N/A,0003178600,25/06/2018 14:59:07
5060474522205,Active,F-87 | BLACK/MUD | Size:ONE SIZE,F-87 | BLACK/MUD | Size:ONE SIZE | Large Leather Vintage Holdall Black/mud : F-87,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-leather-vintage-holdall-black-mud-f-87-p2401,N/A,0003178700,25/06/2018 15:21:14
5060474522229,Active,F-87 | TAN | Size:ONE SIZE,F-87 | TAN | Size:ONE SIZE | Large Leather Vintage Holdall Tan : F-87,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-leather-vintage-holdall-tan-f-87-p2403,N/A,0003178800,20/06/2020 11:12:33
5060474522212,Active,F-87 | BRANDY | Size:ONE SIZE,F-87 | BRANDY | Size:ONE SIZE | Large Leather Vintage Holdall Brandy : F-87,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-leather-vintage-holdall-brandy-f-87-p2402,N/A,0003178900,25/06/2018 15:27:22
5060474522090,Active,F-83 | BLACK/MUD | Size:ONE SIZE,F-83 | BLACK/MUD | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Black/mud : F-83,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-laptop-work-bag-black-mud-f-83-p2423,N/A,0003209100,25/06/2018 11:44:28
5060474522106,Active,F-83 | BRANDY | Size:ONE SIZE,F-83 | BRANDY | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Brandy : F-83,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-laptop-work-bag-brandy-f-83-p2424,N/A,0003209200,20/06/2020 11:05:52
5060474522755,Active,61648 | BLACK | Size:ONE SIZE,61648 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0003224800,20/10/2019 04:11:59
5060474528825,Active,F-83 | TAN | Size:ONE SIZE,F-83 | TAN | Size:ONE SIZE | Leather Vintage Laptop Work Bag Tan : F-83,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-laptop-work-bag-tan-f-83-p3063,N/A,0003417200,20/06/2020 11:07:16
5060474522595,Active,61410 | BORDUEX | Size:ONE SIZE,61410 | BORDUEX | Size:ONE SIZE | Natural Hair On Hide Medium Cross Body Bag Bordeaux – 61410,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/natural-hair-on-hide-medium-cross-body-bag-bordeaux-61410-p3475,N/A,0003739900,23/09/2019 07:13:22
