NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061049600717""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 12,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 12,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:22:13"""
"=""5061049600724""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 14,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 14,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:22:53"""
"=""5061049600731""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 16,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 16,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:23:26"""
"=""5061049600748""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 18,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 18,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:23:58"""
"=""5061049600755""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 20,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 20,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:24:36"""
"=""5061049600762""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 22,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 22,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:25:17"""
"=""5061049600779""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 24,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 24,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:25:50"""
"=""5061049600786""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 8,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 8,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:27:13"""
"=""5061049600793""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 10,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 10,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:27:49"""
"=""5061049600809""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 12,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 12,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:29:33"""
"=""5061049600816""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 14,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 14,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:30:02"""
"=""5061049600823""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 16,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 16,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:30:34"""
