# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231201
# End date: 20231231
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Key events,Ad revenue
/gift-accessories-c8/ladies-gloves-c38/xl-t19,105,1752,0.059931506849315065,12.791666666666666,0,0,0,0,0,0,0
/ladies-c3/leather-jackets-c9/3-4-styles-c91,104,5965,0.01743503772003353,13.053478625314334,60,45,0.703125,51.18333333333333,563,0,0
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,101,4637,0.021781324131981885,11.074832866077205,100,81,0.7431192660550459,62.09,1268,5,0
/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,99,5305,0.018661639962299716,14.288595664467483,89,68,0.723404255319149,64.38202247191012,919,0,0
/ladies-c3/leather-jackets-c9/burgundy-t59,97,59554,0.001628773885885079,5.677603519494912,84,49,0.5444444444444444,40.54761904761905,724,1,0
/map/leather-company-london,97,4354,0.022278364722094626,12.405144694533762,70,60,0.821917808219178,67.04285714285714,655,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,96,28019,0.003426246475605839,23.454762839501768,93,82,0.7884615384615384,130.55913978494624,1741,2,0
/mens-c4/leather-jackets-c25/bugatti-m51,94,1944,0.04835390946502058,14.24074074074074,81,47,0.5595238095238095,20.074074074074073,519,0,0
/mens-c4/leather-jackets-c25/blue-t2,93,8581,0.01083789768092297,10.800489453443655,78,48,0.5783132530120482,51.743589743589745,629,0,0
/gift-accessories-c8/purses-c36/green-t6,92,5041,0.018250347153342592,14.43066851815116,66,53,0.7464788732394366,39.06060606060606,618,0,0
/gift-accessories-c8/purses-c36/ashwood-m1,88,4444,0.019801980198019802,16.263276327632763,72,57,0.7307692307692307,84.93055555555556,787,1,0
/mens-c4/luxury-leather-belt-and-wallet-gift-set-brown-gs-1250-p6126,88,4178,0.02106270943034945,11.310196266156055,80,48,0.5853658536585366,29.925,492,0,0
/ladies-c3,87,23748,0.003663466397170288,7.92710965133906,66,54,0.7397260273972602,151.22727272727272,1182,2,0
/handbags-c6/ashwood-m1/green-t6,86,6430,0.013374805598755831,15.40606531881804,76,59,0.7662337662337663,79.38157894736842,745,1,0
/mens-c4/leather-jackets-c25/size-5xl-t29,86,3935,0.02185514612452351,22.07928843710292,66,51,0.7391304347826086,101.56060606060606,1050,1,0
/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,83,7738,0.01072628586197984,17.798526751098475,67,58,0.8529411764705882,74.55223880597015,737,1,0
/gift-accessories-c8/ladies-gloves-c38,78,8990,0.008676307007786429,32.99621802002225,79,62,0.7294117647058823,39.67088607594937,726,0,0
/handbags-c6/cross-body-bag-c87/ashwood-m1,77,7155,0.010761705101327743,17.129559748427674,50,47,0.8867924528301887,105.84,795,0,0
/ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391,75,16061,0.004669696781022352,22.276446049436522,81,55,0.625,37.39506172839506,672,0,0
/gift-accessories-c8/ladies-gloves-c38/navy-t49,74,5573,0.013278306118787008,7.525210837968778,65,44,0.6666666666666666,31.123076923076923,537,3,0
/gift-accessories-c8/mens-gloves-c37/ashwood-m1,74,17596,0.004205501250284156,6.5907592634689705,60,44,0.7213114754098361,50.416666666666664,454,1,0
/mens-c4/leather-jackets-c25/white-t13,74,8642,0.00856283267762092,14.024762786392039,67,46,0.6865671641791045,31.35820895522388,500,0,0
/luggage-c7/backpacks-rucksacks-c52/tan-t25,73,11031,0.0066177137158915786,6.148490617351102,64,48,0.6956521739130435,57.4375,573,0,0
/luggage-c7/manbags-briefcases-c64,73,8796,0.008299226921327877,17.08901773533424,64,52,0.7428571428571429,62.125,528,1,0
/map/leather-company-solihull,71,2361,0.030072003388394747,10.570944515036002,46,43,0.8431372549019608,146.93478260869566,930,0,0
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1/tan-t25,70,2600,0.026923076923076925,6.233076923076923,57,49,0.765625,73.47368421052632,934,1,0
