Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
"""LADIES""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
"""WOMEN""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
"""JACKET""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
[LEATHER COAT],Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Exact match
[leather purses],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[leather laptop bag],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
"""WOMENS""",Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Phrase match
"""LADY""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
"""JACKETS""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
[bags leather],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[leatherbag],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[leather ags],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
"""WOMEN""",Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Phrase match
[LEATHER COATS MENS],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[mens leather jacket],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
"""MEN""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
[handbags leather],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[leather coats for men],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[MENS LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[LEATHER COATS MEN],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[ladies leather jackets],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[ladies leather coats],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[WOMENS LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[ladies leather jacket],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[LEATHER COAT WOMEN],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[flight jacket leather],Keyword,UK | Leather > General,Leather Jackets (Flight) [BM],Ad group,Exact match
[leather coats for women],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[WOMENS LEATHER COAT],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[flight leather jacket],Keyword,UK | Leather > General,Leather Jackets (Flight) [BM],Ad group,Exact match
[flight leather jackets],Keyword,UK | Leather > General,Leather Jackets (Flight) [BM],Ad group,Exact match
[LEATHER FLIGHT JACKETS],Keyword,UK | Leather > General,Leather Jackets (Flight) [BM],Ad group,Exact match
[leather jacket women],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[LEATHER COATS WOMENS],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[womens leather jackets],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
vvast | Brand Campaign Negatives,List,UK | Search | Brand | tROAS, --,Campaign, --
[doctors leather bags],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[lichfield leather],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[doctor leather bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[doctor bag leather],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[lambswool duster],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[leather doctors bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[plum leather gloves],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[black leather bucket bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[doctors bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[two finger leather gloves],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[men's doctors bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[vegetable tanned leather uk],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[italian leather hobo bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[flying hat],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[classic ladies suede jackets],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[italian leather hobo handbags],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[leather gilet],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[doctors bag leather],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[angel leather jacket uk],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[two tone leather tote bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[mens sheepskin hat],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[leather doctor bag],Keyword,UK | Leather Luggage | Broad, --,Campaign,Exact match
[leather],Keyword,UK | Search | Brand | tROAS, --,Campaign,Exact match
VS - Universal Negatives - Use,List,UK | Search | Brand | tROAS, --,Campaign, --
[mens sheepskin hat],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[leather gilet],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[angel leather jacket uk],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[plum leather gloves],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[leather doctor bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[doctors bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[doctor leather bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[men's doctors bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[italian leather hobo bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[italian leather hobo handbags],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[leather doctors bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[vegetable tanned leather uk],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[flying hat],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[two finger leather gloves],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[doctor bag leather],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[black leather bucket bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[two tone leather tote bag],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[doctors leather bags],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[doctors bag leather],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[lichfield leather],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[lambswool duster],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
[classic ladies suede jackets],Keyword,UK | Leather Bag > Broad, --,Campaign,Exact match
VS - Universal Negatives - Use,List,UK | Leather Luggage | Broad, --,Campaign, --
VS - Universal Negatives - Use,List,UK | Leather > General, --,Campaign, --
[LEATHER COAT WOMENS],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[LEATHER COATS WOMEN],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[WOMEN LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[WOMEN LEATHER COAT],Keyword,UK | Leather > General,Leather Coats (Womens) - [BM],Ad group,Exact match
[LEATHER FLIGHT JACKET],Keyword,UK | Leather > General,Leather Jackets (Flight) [BM],Ad group,Exact match
