Landing page report
"March 1, 2024 - April 22, 2024"
Landing page,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. value,Conv. value / cost
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/vegetable-tanned-ribbed-leather-jacket-camel-vespa-p2316/s9405?utm_source=google&utm_medium=cpc&utm_term=estimo-vegetable-tanned-ribbed-leather-jacket-camel-vespa-size-s-size-s-0002718003&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/accessories-c27/a5-leather-book-cover-copper-brown-a5-lbc-p4210/s14918?utm_source=google&utm_medium=cpc&utm_term=Ashwood-a5-leather-book-cover-copper-brown-a5-lbc-size-one-size-size-one-size-0004025800&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,5,243,2.06%,GBP,0.18,0.91,0.00,0.00
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/italian-8-card-slot-zip-around-leather-purse-clay-17747-79-48-nh-p1380, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/split-suede-biker-jacket-navy-rebel-p5464, --, --, --,0,3,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-mid-brown-nap-britney-p3010, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131/s23695?utm_source=google&utm_medium=cpc&utm_term=ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-si-size-16-0005005305&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,17,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jacket-with-detachable-collar-cognac-sandor-2-p5788/s17944?utm_source=google&utm_medium=cpc&utm_term=Trapper-leather-jacket-with-detachable-collar-cognac-sandor-2-size-size-2xl-0003414207&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,39,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/tab-small-zip-top-leather-cross-body-bag-blue-p4333/s15089?utm_source=google&utm_medium=cpc&utm_term=Ashwood-womens-tab-small-zip-top-leather-cross-body-bag-blue-size-one-size-one-size-0004050600&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,4,261,1.53%,GBP,0.17,0.69,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/luxury-sheepskin-pilot-jacket-brown-nc-air-force-p5820/s18042?utm_source=google&utm_medium=cpc&utm_term=Ashwood-luxury-sheepskin-pilot-jacket-brown-nc-air-force-size-m-size-m-0004263004&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,27,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/luggage-c7/leather-travel-luggage-tag-tan-spitalfields-l-tag-p7489, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-single-breasted-oversized-leather-coat-mid-brown-app-fiona-p3298/s12135?utm_source=google&utm_medium=cpc&utm_term=Ashwood-womens-single-breasted-oversized-leather-coat-mid-brown-app-size-22-0000467108&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,7,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/sale,10, --, --,14,28,50.00%,GBP,1.31,18.33,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/ashwood-large-leather-holdall-tan-g-30-p6230, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/mens-leather-biker-jacket-black-rickon-p3349/s12405?utm_source=google&utm_medium=cpc&utm_term=estimo-men-apos-s-leather-biker-jacket-black-rickon-size-s-size-s-0003650103&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,27,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/bomber-styles-c90/ladies-leather-bomber-jacket-tan-moto-bomber-p7750/s22760?utm_source=google&utm_medium=cpc&utm_term=Ashwood-ladies-leather-bomber-jacket-tan-moto-bomber-size-16-size-16-0004885705&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,36,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/marta-ponti-c54/marta-ponti-medium-italian-leather-handbag-blue-8105867-p2123, --, --, --,0,2,0.00%,GBP,0,0.00,0.00,0.00
