,Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Conversions,Ad revenue,Date
15,/mens-c4,74,13893,0.0053264233786799,17.975743180018714,54,46,0.7419354838709677,118.35185185185183,618,0,0,02-2023
16,/ladies-c3/deals-for-her-c161,0,41,0.0,25.390243902439025,62,45,0.6923076923076923,83.70967741935483,454,0,0,02-2023
17,/luggage-c7/holdall-c15,117,18067,0.0064758952786848,15.7956495267615,60,44,0.6984126984126984,120.7,690,4,0,02-2023
18,/size-guide-i9,132,8987,0.01468788249694,10.286636252364527,88,42,0.4565217391304347,27.63636363636364,350,0,0,02-2023
19,/ladies-c3/ladies-waistcoats-c47,93,10344,0.0089907192575406,24.971094354215005,56,39,0.6724137931034483,55.19642857142857,389,0,0,02-2023
20,/mens-c4/leather-jackets-c25/bomber-styles-c99,77,63703,0.0012087342825298,16.65483572202251,52,34,0.576271186440678,58.73076923076923,340,0,0,02-2023
21,/mens-c4/leather-jackets-c25/3-4-styles-c100,84,25626,0.0032779208616249,5.26449699523921,53,32,0.5818181818181818,54.9811320754717,373,0,0,02-2023
22,/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,46,45332,0.0010147357275213,6.090929144974853,42,29,0.5,66.30952380952381,432,2,0,02-2023
23,/mens-c4/leather-jackets-c25/tan-t25,54,6318,0.0085470085470085,15.6897752453308,37,29,0.725,54.648648648648646,276,0,0,02-2023
24,/ashwood-m1,70,5043,0.0138806266111441,7.363672417211977,37,27,0.6585365853658537,149.21621621621622,702,0,0,02-2023
25,(not set),0,0,0.0,0.0,201,22,0.0842911877394636,7.537313432835821,616,0,0,02-2023
26,/ladies-c3/leather-jackets-c9/3-4-styles-c91,60,32315,0.0018567228841095,8.833266285006964,38,22,0.55,36.44736842105263,242,0,0,02-2023
0,/mens-c4/leather-jackets-c25,1568,152164,0.0103046712757288,19.777292920795983,1240,946,0.6935483870967742,88.4274193548387,11152,6,0,03-2023
1,/ladies-c3/leather-jackets-c9,864,147475,0.0058586201051025,21.61902695372097,666,550,0.738255033557047,121.2042042042042,7004,5,0,03-2023
2,/,841,21750,0.0386666666666666,16.28464367816092,530,462,0.5668711656441717,128.7245283018868,7683,11,0,03-2023
3,/mens-c4/sheepskin-jackets-c26,297,24740,0.012004850444624,14.401455133387229,207,168,0.7241379310344828,84.7584541062802,1985,0,0,03-2023
4,/handbags-c6,388,52357,0.0074106614206314,25.260309032221095,236,158,0.6345381526104418,92.24152542372882,2116,4,0,03-2023
5,/mens-c4/leather-jackets-c25/trapper-m33,271,12633,0.0214517533444154,6.571439879680202,188,136,0.6384976525821596,52.45212765957447,1373,0,0,03-2023
6,/handbags-c6/ashwood-c30,208,20158,0.0103184839765849,13.099513840658796,160,132,0.7764705882352941,150.8375,1885,0,0,03-2023
7,/handbags-c6/backpacks-c89,217,30543,0.0071047375830795,27.183937399731526,175,123,0.6542553191489362,59.65714285714286,1376,2,0,03-2023
8,/mens-c4/man-bags-briefcases-c12,203,41117,0.0049371306272344,31.76919522338692,130,105,0.7664233576642335,76.24615384615385,977,0,0,03-2023
