Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/mens-c4/leather-jackets-c25/monomoi-m52,110,480,96.0,82.0,75.45%,1m 27s,2.0,£258.99,4.363636363636363
/handbags-c6/tan-t25,109,429,98.0,85.0,62.39%,1m 24s,1.0,£85.00,3.9357798165137616
/ladies-c3/purses-c22/medium-croc-print-leather-wallet-purse-navy-croc-mc7-p6856/s20295,109,245,90.0,62.0,55.05%,23s,1.0,£58.24,2.2477064220183487
/mens-c4/leather-jackets-c25/leather-biker-jacket-timber-bronx-p542/s3636,109,385,100.0,77.0,66.97%,49s,0.0,£0.00,3.532110091743119
/register,109,299,78.0,36.0,35.78%,50s,2.0,£788.99,2.743119266055046
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,107,213,90.0,76.0,67.29%,31s,1.0,£439.00,1.9906542056074767
/mens-c4/man-bags-briefcases-c12/backpacks-c116,107,228,99.0,77.0,65.42%,43s,1.0,£79.99,2.130841121495327
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18979,106,188,104.0,93.0,68.87%,27s,1.0,£53.99,1.7735849056603774
/map,105,328,88.0,58.0,57.14%,1m 20s,1.0,£99.99,3.123809523809524
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231/s14952,105,326,91.0,70.0,67.62%,1m 01s,2.0,£258.00,3.104761904761905
/handbags-c6/ashwood-c30/ashwood-womens-three-section-leather-shoulder-bag-black-v-31-p5294/s16712,104,257,83.0,59.0,61.54%,39s,0.0,£0.00,2.4711538461538463
/mens-c4/man-bags-briefcases-c12/ashwood-mens-small-zip-around-flight-side-bag-brown-tum-jerry-p663/s4130,103,202,65.0,37.0,47.57%,17s,0.0,£0.00,1.9611650485436893
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17047,102,364,89.0,73.0,65.69%,57s,1.0,£219.98,3.5686274509803924
/ladies-c3/leather-three-section-cross-body-bag-black-croc-63789-croc-p6601/s19897,102,203,80.0,61.0,54.90%,22s,0.0,£0.00,1.9901960784313726
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17960,102,252,82.0,60.0,56.86%,28s,0.0,£0.00,2.4705882352941178
/ladies-c3/leather-jackets-c9/brown-t3,101,320,92.0,83.0,71.29%,1m 06s,0.0,£0.00,3.1683168316831685
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14167,100,245,94.0,79.0,64%,37s,0.0,£0.00,2.45
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1258,99,213,74.0,56.0,68.69%,26s,0.0,£0.00,2.1515151515151514
/mens-c4/man-bags-briefcases-c12/flight-bags-c118,99,364,87.0,63.0,68.69%,1m 29s,1.0,£169.95,3.676767676767677
/handbags-c6/backpacks-c89/large-vintage-leather-backpack-honey-g28-p3755/s13672,98,290,81.0,61.0,67.35%,50s,0.0,£0.00,2.9591836734693877
/mens-c4/leather-jackets-c25/red-t11,98,230,92.0,90.0,67.35%,37s,0.0,£0.00,2.3469387755102042
/ladies-c3/accessories-c24,97,415,94.0,72.0,75.26%,2m 24s,3.0,£400.11,4.278350515463917
/ladies-c3/deals-for-her-c161,97,447,93.0,77.0,68.04%,2m 10s,0.0,£0.00,4.608247422680412
/mens-c4/leather-jackets-c25/leather-coat-black-brontes-p251/s1443,97,255,70.0,41.0,59.79%,36s,1.0,£210.00,2.6288659793814433
/mens-c4/leather-jackets-c25/ashwood-m1,96,261,77.0,63.0,66.67%,1m 38s,0.0,£0.00,2.71875
/mens-c4/leather-jackets-c25/blazer-styles-c98,96,268,91.0,78.0,73.96%,53s,0.0,£0.00,2.7916666666666665
/mens-c4/man-bags-briefcases-c12/washbags-c114/vintage-oily-hanging-leather-wash-bag-tweed-liam-wb-p6235/s19040,96,190,83.0,70.0,48.96%,25s,0.0,£0.00,1.9791666666666667
/handbags-c6/ashwood-c30/large-vintage-leather-handbag-honey-g29-p3632/s13063,95,179,82.0,75.0,57.89%,32s,0.0,£0.00,1.8842105263157896
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,95,493,89.0,80.0,75.79%,1m 20s,2.0,£84.98,5.189473684210526
/ladies-c3/leather-jackets-c9/biker-styles-c78,94,295,79.0,42.0,60.64%,1m 08s,0.0,£0.00,3.1382978723404253
/sale/handbags-c6/backpacks-c89/black-t1,93,141,93.0,92.0,68.82%,23s,0.0,£0.00,1.5161290322580645
/ladies-c3/leather-handbags-c10/large-leather-handbag-bridge-vt-gina-p1050/s5774,92,205,73.0,53.0,64.13%,29s,0.0,£0.00,2.2282608695652173
/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-bone-croc-curve-p6622/s19921,91,247,82.0,68.0,58.24%,41s,2.0,£69.96,2.7142857142857144
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175,91,355,59.0,20.0,45.05%,1m 30s,1.0,£53.99,3.901098901098901
/luggage-c7/leather-tablet-a4-sleeves-c151/vintage-leather-luxury-a4-metal-binder-sleeve-tan-noah-p2932/s10363,91,159,74.0,65.0,65.93%,30s,0.0,£0.00,1.7472527472527473
/ladies-c3/leather-jackets-c9/red-t11,90,176,87.0,80.0,73.33%,28s,0.0,£0.00,1.9555555555555555
/ladies-c3/ladies-jackets-coats-c181/ashwood-m1,89,223,80.0,70.0,59.55%,38s,0.0,£0.00,2.50561797752809
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-deep-lake-64064-p7915/s23049,89,227,71.0,60.0,60.67%,32s,2.0,£119.98,2.550561797752809
/delivery-returns-i5,88,233,64.0,21.0,47.73%,1m 26s,3.0,£509.00,2.647727272727273
/handbags-c6/ashwood-c30/large-vintage-leather-handbag-black-g29-p3630/s13061,88,175,62.0,48.0,53.41%,17s,0.0,£0.00,1.9886363636363635
/mens-c4/leather-jackets-c25/3-4-styles-c100,86,186,79.0,65.0,65.12%,37s,0.0,£0.00,2.1627906976744184
/ladies-c3/ashwood-large-leather-holdall-cognac-fe-06-p6743/s20073,85,410,70.0,54.0,64.71%,2m 19s,0.0,£0.00,4.823529411764706
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-tan-vito-p3824/s13888,85,196,60.0,43.0,54.12%,40s,1.0,£229.00,2.3058823529411763
/mens-c4/leather-jackets-c25/bomber-styles-c99/mens-leather-bomber-jacket-tan-oscar-bomber-p7967,85,143,6.0,3.0,31.76%,8s,0.0,£0.00,1.6823529411764706
/handbags-c6/ashwood-c30/vintage-leather-cross-body-shoulder-bag-brandy-g22-p3613/s13044,84,234,68.0,47.0,63.10%,40s,2.0,£107.98,2.7857142857142856
/ladies-c3/ashwood-three-pocket-leather-sling-bag-honey-t-75-p6791/s20143,84,172,75.0,55.0,45.24%,21s,0.0,£0.00,2.0476190476190474
/ladies-c3/leather-jackets-c9/beige-t70,84,241,80.0,72.0,73.81%,49s,0.0,£0.00,2.869047619047619
/mens-c4/leather-jackets-c25/size-5xl-t29,84,444,79.0,66.0,83.33%,2m 12s,2.0,£497.55,5.285714285714286
/mens-c4/man-bags-briefcases-c12/ashwood-mens-3-pocket-luxury-small-leather-flight-bag-black-jack-p659/s4126,83,201,67.0,41.0,43.37%,27s,1.0,£69.00,2.4216867469879517
/ladies-c3/ashwood-womens-long-handle-leather-shopper-bag-denim-62320-p6656/s19955,82,240,71.0,58.0,65.85%,30s,0.0,£0.00,2.926829268292683
/ladies-c3/14-card-rfid-protected-large-leather-purse-black-s1-p6703/s20033,81,229,68.0,48.0,53.09%,52s,2.0,£79.96,2.8271604938271606
