Product Stock Listing,,,,,,,,,,,,,,,,,,
Branches,"Ashwood Handbags,",,"Fenland,",,"leather company,",,"Solihull LC,",,"Wholesale Customers,",,,,,,,,,
AL FRANCO,,,,,,,,,,,,,,,,,,
NO SEASON,,,,,,,,,,,,,,,,,,
Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
018S,,BROWN/BRISSA,,,,L,,s/skin hat,,,HATS,,0003565505,0.00,94.99,3,0.00,284.97
018S,,BROWN/BRISSA,,,,XL,,s/skin hat,,,HATS,,0003565506,0.00,94.99,6,0.00,569.94
018S,,BROWN/BRISSA,,,,2XL,,s/skin hat,,,HATS,,0003565507,0.00,94.99,0,0.00,0.00
018S,,TAN/BRN,,,,M,,s/skin hat,,,HATS,,0004085304,0.00,94.99,2,0.00,189.98
018S,,TAN/BRN,,,,L,,s/skin hat,,,HATS,,0004085305,0.00,94.99,2,0.00,189.98
018S,,TAN/BRN,,,,XL,,s/skin hat,,,HATS,,0004085306,0.00,94.99,2,0.00,189.98
018S,,TOBACCO,,,,M,,s/skin hat,,,HATS,,0003564004,0.00,94.99,0,0.00,0.00
018S,,TOBACCO,,,,L,,s/skin hat,,,HATS,,0003564005,0.00,94.99,0,0.00,0.00
018S,,TOBACCO,,,,XL,,s/skin hat,,,HATS,,0003564006,0.00,94.99,0,0.00,0.00
018S,,TOBACCO,,,,2XL,,s/skin hat,,,HATS,,0003564007,0.00,94.99,0,0.00,0.00
025 HAT,,BLACK,,,,XL,,STUD FASTEN HAT S /SKIN,,,HATS,,0000917106,15.00,39.99,0,0.00,0.00
025 HAT,,BRN/WHITE,,,,S,,STUD FASTEN HAT S /SKIN,,,HATS,,0001329603,15.00,39.99,0,0.00,0.00
025 HAT,,BRN/WHITE,,,,M,,STUD FASTEN HAT S /SKIN,,,HATS,,0001329604,15.00,39.99,0,0.00,0.00
025 HAT,,BRN/WHITE,,,,L,,STUD FASTEN HAT S /SKIN,,,HATS,,0001329605,15.00,39.99,0,0.00,0.00
025 HAT,,BROWN,,,,S,,STUD FASTEN HAT S /SKIN,,,HATS,,0000918503,15.00,39.99,0,0.00,0.00
025 HAT,,BROWN,,,,L,,STUD FASTEN HAT S /SKIN,,,HATS,,0000918505,15.00,39.99,0,0.00,0.00
025 HAT,,BROWN,,,,XL,,STUD FASTEN HAT S /SKIN,,,HATS,,0000918506,15.00,39.99,0,0.00,0.00
026 HAT,,BLACK,,,,M,,LACE FASTEN S/SKIN HAT,,,HATS,,0000919904,15.00,39.99,0,0.00,0.00
026 HAT,,BRN/WHITE,,,,XL,,LACE FASTEN S/SKIN HAT,,,HATS,,0003981506,15.00,39.99,0,0.00,0.00
026 HAT,,BROWN,,,,S,,LACE FASTEN S/SKIN HAT,,,HATS,,0000921303,15.00,39.99,0,0.00,0.00
026 HAT,,BROWN,,,,M,,LACE FASTEN S/SKIN HAT,,,HATS,,0000921304,15.00,39.99,0,0.00,0.00
026 HAT,,BROWN,,,,2XL,,LACE FASTEN S/SKIN HAT,,,HATS,,0000921307,15.00,39.99,0,0.00,0.00
026 HAT,,TAUPE,,,,L,,LACE FASTEN S/SKIN HAT,,,HATS,,0002247405,15.00,39.99,0,0.00,0.00
030-T,,BLACK,,,,M,,s/skin/material hats,,,HATS,,0003556104,0.00,59.99,0,0.00,0.00
030-T,,BLACK,,,,L,,s/skin/material hats,,,HATS,,0003556105,0.00,59.99,0,0.00,0.00
030-T,,BLACK,,,,XL,,s/skin/material hats,,,HATS,,0003556106,0.00,59.99,0,0.00,0.00
030-T,,BLACK,,,,2XL,,s/skin/material hats,,,HATS,,0003556107,0.00,59.99,0,0.00,0.00
030-T,,BLACK/BRISSA,,,,M,,s/skin/material hats,,,HATS,,0004094404,0.00,59.99,0,0.00,0.00
030-T,,BLACK/BRISSA,,,,L,,s/skin/material hats,,,HATS,,0004094405,0.00,59.99,0,0.00,0.00
030-T,,BLACK/BRISSA,,,,XL,,s/skin/material hats,,,HATS,,0004094406,0.00,59.99,2,0.00,119.98
030-T,,NAVY,,,,M,,s/skin/material hats,,,HATS,,0003557604,0.00,59.99,3,0.00,179.97
030-T,,NAVY,,,,L,,s/skin/material hats,,,HATS,,0003557605,0.00,59.99,1,0.00,59.99
030-T,,NAVY,,,,XL,,s/skin/material hats,,,HATS,,0003557606,0.00,59.99,2,0.00,119.98
030-T,,NAVY,,,,2XL,,s/skin/material hats,,,HATS,,0003557607,0.00,59.99,0,0.00,0.00
030-T,,OLIVE,,,,M,,s/skin/material hats,,,HATS,,0003559104,0.00,59.99,0,0.00,0.00
030-T,,OLIVE,,,,L,,s/skin/material hats,,,HATS,,0003559105,0.00,59.99,1,0.00,59.99
030-T,,OLIVE,,,,XL,,s/skin/material hats,,,HATS,,0003559106,0.00,59.99,0,0.00,0.00
030-T,,OLIVE,,,,2XL,,s/skin/material hats,,,HATS,,0003559107,0.00,59.99,0,0.00,0.00
034,,BLACK,,,,S/M,,SHEEPSKIN HAT,,,HATS,,0003699900,0.00,59.99,19,0.00,"1,139.81"
034,,BLACK,,,,L/XL,,SHEEPSKIN HAT,,,HATS,,0003699901,0.00,59.99,24,0.00,"1,439.76"
034,,BROWN,,,,S/M,,SHEEPSKIN HAT,,,HATS,,0003700200,0.00,59.99,11,0.00,659.89
034,,BROWN,,,,L/XL,,SHEEPSKIN HAT,,,HATS,,0003700201,0.00,59.99,2,0.00,119.98
034,,GRAY,,,,S/M,,SHEEPSKIN HAT,,,HATS,,0003882100,0.00,59.99,0,0.00,0.00
034,,GRAY,,,,L/XL,,SHEEPSKIN HAT,,,HATS,,0003882101,0.00,59.99,0,0.00,0.00
034,,LT BRN BRISSA,,,,S/M,,SHEEPSKIN HAT,,,HATS,,0003881800,0.00,59.99,0,0.00,0.00
034,,LT BRN BRISSA,,,,L/XL,,SHEEPSKIN HAT,,,HATS,,0003881801,0.00,59.99,0,0.00,0.00
034,,MID BROWN,,,,S/M,,SHEEPSKIN HAT,,,HATS,,0003700500,0.00,59.99,1,0.00,59.99
034,,MID BROWN,,,,L/XL,,SHEEPSKIN HAT,,,HATS,,0003700501,0.00,59.99,14,0.00,839.86
035K,,BLK/BLK,,,,M,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004072804,0.00,99.00,0,0.00,0.00
035K,,BLK/BLK,,,,L,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004072805,0.00,99.00,0,0.00,0.00
035K,,BLK/BLK,,,,XL,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004072806,0.00,99.00,0,0.00,0.00
035K,,BRN/WHITE,,,,M,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004074304,0.00,99.00,1,0.00,99.00
035K,,BRN/WHITE,,,,L,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004074305,0.00,99.00,1,0.00,99.00
035K,,BRN/WHITE,,,,XL,,TRAPPER SHEEPSKIN HAT,,,ACCESSORIES,,0004074306,0.00,99.00,2,0.00,198.00
