Landing page,Sessions,Sessions/KeyEvents All,Sessions/KeyEvents Organic,Engagement rate all,Engagement rate organic,Average engagement time per session
/ladies-c3/vintage-small-leather-travel-shoulder-bag-brandy-g24-p3619,63.0,10.5,6.67,0.54,0.57,117.41
/luggage-c7/wash-toiletry-bags-c55/mens-leather-washbag-black-g-37-p3820,61.0,30.5,14.0,0.59,0.72,49.87
/mens-c4/man-bags-briefcases-c12/backpacks-c116/suede-and-leather-luxury-backpack-grey-tucker-p4323,59.0,59.0,13.0,0.49,0.57,52.81
/ladies-c3/medium-leather-shoulder-bag-navy-62551-p6660,59.0,14.75,8.0,0.59,0.62,92.83
/ladies-c3/sheepskin-jackets-c11/hooded-toscana-coat-brown-lyonesse-p879,58.0,58.0,9.0,0.6,1.0,61.66
/gift-accessories-c8/wallets-c16/ashwood-leather-travel-wallet-brown-tw-01-p1357,57.0,14.25,7.0,0.53,0.5,61.75
/mens-c4/man-bags-briefcases-c12/ashwood-mens-double-clasp-laptop-satchel-chestnut-vt-jasper-p662,57.0,19.0,15.0,0.47,0.71,47.14
/ladies-c3/leather-biker-jacket-black-medusa-p3429,56.0,56.0,7.0,0.34,0.58,60.59
/ladies-c3/womens-flap-over-leather-cross-body-bag-black-ela-1495-p5530,56.0,56.0,20.0,0.46,0.59,88.88
/mens-c4/man-bags-briefcases-c12/ashwood-mens-vintage-leather-tablet-sleeve-clutch-bag-rust-7991-p673,56.0,11.2,21.0,0.52,0.6,67.52
/ladies-c3/accessories-c24/gloves-c102/ashwood-stitch-detail-leather-gloves-black-733-p1639,54.0,18.0,14.0,0.39,0.48,53.26
/mens-c4/monomoi-hooded-leather-jacket-black-maxson-p6117,54.0,13.5,4.5,0.33,0.82,143.91
/sale/handbags-c6/tan-t25,54.0,54.0,38.0,0.78,0.79,53.96
/ladies-c3/tab-small-zip-top-leather-cross-body-bag-blue-p4333,52.0,13.0,9.0,0.44,0.43,145.67
/ladies-c3/leather-handbags-c10/ashwood-ladies-leather-phonebag-purse-chestnut-t-80-p7506,51.0,51.0,10.0,0.37,0.91,23.55
/mens-c4/trapper-m33,50.0,25.0,17.5,0.74,0.8,68.06
/gift-accessories-c8/purses-c36/pink-t9,48.0,48.0,33.0,0.75,0.79,38.58
/gift-accessories-c8/wallets-c16/vegetable-tanned-6-card-zip-coin-tri-fold-leather-wallet-brown-1265-vt-p165,45.0,45.0,23.0,0.58,0.66,67.07
/handbags-c6/ashwood-suede-leather-small-crossbody-bag-tan-s-11-p6240,45.0,15.0,7.0,0.56,0.64,57.2
/luggage-c7/holdall-c15/tan-t25,45.0,22.5,31.0,0.78,0.79,165.27
/luggage-c7/wash-toiletry-bags-c55/mens-leather-washbag-tan-g-37-p3822,44.0,44.0,19.0,0.59,0.68,71.86
/ladies-c3/accessories-c24/gloves-c102/ashwood-suede-and-leather-gloves-black-130-p1634,40.0,40.0,24.0,0.65,0.75,22.62
/gift-accessories-c8/womens-leather-belts-c208/womens-croc-print-leather-belt-with-gold-metal-pin-buckle-black-c-99-p7208,37.0,37.0,10.0,0.3,0.32,27.7
