NumberType: GTIN-13,,,,,,,,,
Prefix: 506082128,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060821288457,Active,63790 | BLACK | Size:ONE SIZE,63790 | BLACK | Size:ONE SIZE | Women's Leather Shoulder Handbag Black: 63790,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-63790-p6509,N/A,0004475500,03/08/2022 09:46:36
5060821288464,Active,63790 | TAN | Size:ONE SIZE,63790 | TAN | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan: 63790,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-63790-p6512,N/A,0004475800,03/08/2022 09:54:57
5060821288549,Active,63791 | BLACK | Size:ONE SIZE,63791 | BLACK | Size:ONE SIZE | Women's Leather Medium Saddle Shoulder Handbag Black: 63791,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-medium-saddle-shoulder-handbag-black-63791-p6514,N/A,0004476000,03/08/2022 11:28:53
5060821288556,Active,63791 | TAN | Size:ONE SIZE,63791 | TAN | Size:ONE SIZE | Women's Leather Medium Saddle Shoulder Handbag Tan: 63791,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-medium-saddle-shoulder-handbag-tan-63791-p6517,N/A,0004476300,03/08/2022 11:32:10
5060821288228,Active,63786 croc | BLK/CROC | Size:ONE SIZE,63786 croc | BLK/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Black/croc: 63786 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-croc-63786-croc-p6592,N/A,0004507200,03/08/2022 07:15:32
5060821288242,Active,63786 croc | GREEN/CROC | Size:ONE SIZE,63786 croc | GREEN/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Green/croc: 63786 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-green-croc-63786-croc-p6593,N/A,0004507300,03/08/2022 07:23:04
5060821288235,Active,63786 croc | TAN/CROC | Size:ONE SIZE,63786 croc | TAN/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan/croc: 63786 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-croc-63786-croc-p6594,N/A,0004507400,03/08/2022 07:17:49
5060821288273,Active,63787 croc | BLK/CROC | Size:ONE SIZE,63787 croc | BLK/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Black/croc: 63787 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-croc-63787-croc-p6595,N/A,0004507500,03/08/2022 08:20:48
5060821288297,Active,63787 croc | GREEN/CROC | Size:ONE SIZE,63787 croc | GREEN/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Green/croc: 63787 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-green-croc-63787-croc-p6596,N/A,0004507600,03/08/2022 08:25:11
5060821288280,Active,63787 croc | TAN/CROC | Size:ONE SIZE,63787 croc | TAN/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan/croc: 63787 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-croc-63787-croc-p6597,N/A,0004507700,03/08/2022 08:24:02
5060821288327,Active,63788 croc | BLK/CROC | Size:ONE SIZE,63788 croc | BLK/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Black/croc: 63788 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-croc-63788-croc-p6598,N/A,0004507800,03/08/2022 08:40:27
5060821288341,Active,63788 croc | GREEN/CROC | Size:ONE SIZE,63788 croc | GREEN/CROC | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004507900,03/08/2022 08:45:58
5060821288334,Active,63788 croc | TAN/CROC | Size:ONE SIZE,63788 croc | TAN/CROC | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan/croc: 63788 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-croc-63788-croc-p6600,N/A,0004508000,03/08/2022 08:41:48
5060821288372,Active,63789 croc | BLK/CROC | Size:ONE SIZE,63789 croc | BLK/CROC | Size:ONE SIZE | Leather Three Section Cross Body Bag Black/croc: 63789 Croc,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-three-section-cross-body-bag-black-croc-63789-croc-p6601,N/A,0004508100,20/12/2022 11:08:17
