Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue
/ladies-c3/leather-jackets-c9/3-4-styles-c91,130,121,97,0.7769230769230769,31.407692307692308,0,0
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,130,110,95,0.4,20.861538461538462,0,0
/mens-c4/fenland-mens-nubuck-leather-jacket-brown-carter-p5769/s17772,130,112,82,0.6153846153846154,49.707692307692305,0,0
/search/leather-jackets,130,126,115,0.7461538461538462,75.56153846153846,1,53.99
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1269,126,92,45,0.6349206349206349,39.53968253968254,1,141.55
/gift-accessories-c8/wallets-c16/ashwood-m1,123,117,113,0.6910569105691057,68.73983739837398,0,0
/handbags-c6/the-bridge-m7,123,112,97,0.6747967479674797,36.34959349593496,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1261,122,101,67,0.6229508196721312,56.02459016393443,1,210
/gift-accessories-c8/mens-gloves-c37,120,116,103,0.7666666666666667,59.325,0,0
/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-jacket-black-app-chambery-p3283/s11956,117,100,82,0.6068376068376068,46.1025641025641,3,397
/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918/s5121,115,90,66,0.5304347826086957,41.495652173913044,2,346.5
/mens-c4/man-bags-briefcases-c12/briefcases-c112,115,108,94,0.7478260869565218,50.582608695652176,0,0
/mens-c4/sheepskin-jackets-c26/sheepskin-coat-tan-hektor-p807/s4338,113,104,80,0.5309734513274337,15,0,0
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,112,110,104,0.7589285714285714,40.544642857142854,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1257,112,98,73,0.7053571428571429,52.0625,0,0
/luggage-c7/trolleys-c33,111,44,37,0.3783783783783784,15,0,0
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,110,82,37,0.4818181818181818,85.96363636363637,3,556.37
/mens-c4/leather-jackets-c25/monomoi-m52,110,96,82,0.7545454545454545,87.53636363636363,2,258.99
/handbags-c6/tan-t25,109,98,85,0.6238532110091743,84.29357798165138,1,85
/ladies-c3/purses-c22/medium-croc-print-leather-wallet-purse-navy-croc-mc7-p6856/s20295,109,90,62,0.5504587155963303,23.477064220183486,1,58.24
/mens-c4/leather-jackets-c25/leather-biker-jacket-timber-bronx-p542/s3636,109,100,77,0.6697247706422018,49.36697247706422,0,0
/register,109,78,36,0.3577981651376147,50.22935779816514,2,788.99
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,107,90,76,0.6728971962616822,31.588785046728972,1,439
/mens-c4/man-bags-briefcases-c12/backpacks-c116,107,99,77,0.6542056074766355,43.33644859813084,1,79.99
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18979,106,104,93,0.6886792452830188,27.87735849056604,1,53.99
/map,105,88,58,0.5714285714285714,80.56190476190476,1,99.99
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231/s14952,105,91,70,0.6761904761904762,61,2,258
/handbags-c6/ashwood-c30/ashwood-womens-three-section-leather-shoulder-bag-black-v-31-p5294/s16712,104,83,59,0.6153846153846154,39.09615384615385,0,0
/mens-c4/man-bags-briefcases-c12/ashwood-mens-small-zip-around-flight-side-bag-brown-tum-jerry-p663/s4130,103,65,37,0.47572815533980584,17.893203883495147,0,0
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17047,102,89,73,0.6568627450980392,57.23529411764706,1,219.98
/ladies-c3/leather-three-section-cross-body-bag-black-croc-63789-croc-p6601/s19897,102,80,61,0.5490196078431373,22.666666666666668,0,0
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17960,102,82,60,0.5686274509803921,28.480392156862745,0,0
/ladies-c3/leather-jackets-c9/brown-t3,101,92,83,0.7128712871287128,66.79207920792079,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14167,100,94,79,0.64,37.68,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1258,99,74,56,0.6868686868686869,26.373737373737374,0,0
/mens-c4/man-bags-briefcases-c12/flight-bags-c118,99,87,63,0.6868686868686869,89.48484848484848,1,169.95
/handbags-c6/backpacks-c89/large-vintage-leather-backpack-honey-g28-p3755/s13672,98,81,61,0.673469387755102,50.19387755102041,0,0
/mens-c4/leather-jackets-c25/red-t11,98,92,90,0.673469387755102,37.98979591836735,0,0
/ladies-c3/accessories-c24,97,94,72,0.7525773195876289,144.06185567010309,3,400.11
/ladies-c3/deals-for-her-c161,97,93,77,0.6804123711340206,130.29896907216494,0,0
/mens-c4/leather-jackets-c25/leather-coat-black-brontes-p251/s1443,97,70,41,0.5979381443298969,36.44329896907217,1,210
/mens-c4/leather-jackets-c25/ashwood-m1,96,77,63,0.6666666666666666,98.83333333333333,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98,96,91,78,0.7395833333333334,53.03125,0,0
/mens-c4/man-bags-briefcases-c12/washbags-c114/vintage-oily-hanging-leather-wash-bag-tweed-liam-wb-p6235/s19040,96,83,70,0.4895833333333333,25.75,0,0
/handbags-c6/ashwood-c30/large-vintage-leather-handbag-honey-g29-p3632/s13063,95,82,75,0.5789473684210527,32.589473684210525,0,0
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,95,89,80,0.7578947368421053,80.09473684210526,2,84.98
/ladies-c3/leather-jackets-c9/biker-styles-c78,94,79,42,0.6063829787234043,68.68085106382979,0,0
/sale/handbags-c6/backpacks-c89/black-t1,93,93,92,0.6881720430107527,23.29032258064516,0,0
/ladies-c3/leather-handbags-c10/large-leather-handbag-bridge-vt-gina-p1050/s5774,92,73,53,0.6413043478260869,29.17391304347826,0,0
/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-bone-croc-curve-p6622/s19921,91,82,68,0.5824175824175825,41.94505494505494,2,69.96
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175,91,59,20,0.45054945054945056,90.31868131868131,1,53.99
/luggage-c7/leather-tablet-a4-sleeves-c151/vintage-leather-luxury-a4-metal-binder-sleeve-tan-noah-p2932/s10363,91,74,65,0.6593406593406593,30.912087912087912,0,0
/ladies-c3/leather-jackets-c9/red-t11,90,87,80,0.7333333333333333,28.033333333333335,0,0
/ladies-c3/ladies-jackets-coats-c181/ashwood-m1,89,80,70,0.5955056179775281,38.674157303370784,0,0
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-deep-lake-64064-p7915/s23049,89,71,60,0.6067415730337079,32.449438202247194,2,119.98
/delivery-returns-i5,88,64,21,0.4772727272727273,86.48863636363636,3,509
/handbags-c6/ashwood-c30/large-vintage-leather-handbag-black-g29-p3630/s13061,88,62,48,0.5340909090909091,17.28409090909091,0,0
/mens-c4/leather-jackets-c25/3-4-styles-c100,86,79,65,0.6511627906976745,37.58139534883721,0,0
/ladies-c3/ashwood-large-leather-holdall-cognac-fe-06-p6743/s20073,85,70,54,0.6470588235294118,139.31764705882352,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-tan-vito-p3824/s13888,85,60,43,0.5411764705882353,40.84705882352941,1,229
