"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",
81,3023,,"00014147","0001414700",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,537,,"00014147","0001414701",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,538,,"00014147","0001414702",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,539,,"00014147","0001414703",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,540,,"00014147","0001414704",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,541,,"00014147","0001414705",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,542,,"00014147","0001414706",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,543,,"00014147","0001414707",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,544,,"00014147","0001414708",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,3024,,"00014147","0001414709",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,3025,,"00014147","0001414710",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
81,3026,,"00014147","0001414711",,"Leather Jacket Black/ddy : Infinity","Leather Jacket Black/ddy : Infinity",
84,2561,,"00014625","0001462500",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,573,,"00014625","0001462501",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,574,,"00014625","0001462502",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,575,,"00014625","0001462503",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,576,,"00014625","0001462504",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,577,,"00014625","0001462505",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,578,,"00014625","0001462506",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,579,,"00014625","0001462507",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,580,,"00014625","0001462508",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,2562,,"00014625","0001462509",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,2563,,"00014625","0001462510",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
84,2564,,"00014625","0001462511",,"Leather Coat Mid Brown : Jacqueline ","Leather Coat Mid Brown : Jacqueline ",
92,2624,,"00010547","0001054700",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,653,,"00010547","0001054701",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,654,,"00010547","0001054702",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,655,,"00010547","0001054703",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,656,,"00010547","0001054704",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,657,,"00010547","0001054705",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,658,,"00010547","0001054706",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,659,,"00010547","0001054707",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,660,,"00010547","0001054708",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,661,,"00010547","0001054709",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,2625,,"00010547","0001054710",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
92,2626,,"00010547","0001054711",,"Ashwood Leather Hooded Coat Black/ddy : Harriet ","Fur Leather Hooded Coat Black/ddy: Harriet",
93,2627,,"00010559","0001055900",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,665,,"00010559","0001055901",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,666,,"00010559","0001055902",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,667,,"00010559","0001055903",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,668,,"00010559","0001055904",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,669,,"00010559","0001055905",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,670,,"00010559","0001055906",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,671,,"00010559","0001055907",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,672,,"00010559","0001055908",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,673,,"00010559","0001055909",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,2628,,"00010559","0001055910",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
93,2629,,"00010559","0001055911",,"Ashwood Leather Hooded Coat Brown/ddy : Harriet ","Fur Leather Hooded Coat Brown/ddy : Harriet ",
94,2599,,"00007305","0000730500",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,677,,"00007305","0000730501",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,678,,"00007305","0000730502",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,679,,"00007305","0000730503",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,680,,"00007305","0000730504",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,681,,"00007305","0000730505",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,682,,"00007305","0000730506",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,683,,"00007305","0000730507",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,684,,"00007305","0000730508",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,685,,"00007305","0000730509",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,2600,,"00007305","0000730510",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
94,2601,,"00007305","0000730511",,"Sheepskin Coat Dark-Brown : Anthea ","Sheepskin Coat Dark-Brown : Anthea ",
95,2602,,"00007329","0000732900",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,689,,"00007329","0000732901",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,690,,"00007329","0000732902",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,691,,"00007329","0000732903",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,692,,"00007329","0000732904",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,693,,"00007329","0000732905",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,694,,"00007329","0000732906",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,695,,"00007329","0000732907",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,696,,"00007329","0000732908",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,697,,"00007329","0000732909",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,2603,,"00007329","0000732910",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
95,2604,,"00007329","0000732911",,"Sheepskin Coat Tobacco : Anthea","Sheepskin Coat Tobacco : Anthea",
96,2618,,"00008017","0000801700",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,2619,,"00008017","0000801701",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,702,,"00008017","0000801702",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,703,,"00008017","0000801703",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,704,,"00008017","0000801704",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,705,,"00008017","0000801705",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,706,,"00008017","0000801706",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,707,,"00008017","0000801707",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,708,,"00008017","0000801708",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,709,,"00008017","0000801709",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,2620,,"00008017","0000801710",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,2621,,"00008017","0000801711",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,2622,,"00008017","0000801712",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
96,2623,,"00008017","0000801713",,"Sheepskin Flying Jacket Tobacco : Hunter ","Sheepskin Flying Jacket Tobacco : Hunter ",
97,2595,,"00007557","0000755700",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,715,,"00007557","0000755701",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,716,,"00007557","0000755702",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,717,,"00007557","0000755703",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,718,,"00007557","0000755704",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,719,,"00007557","0000755705",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,720,,"00007557","0000755706",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,721,,"00007557","0000755707",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,722,,"00007557","0000755708",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,2596,,"00007557","0000755709",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,2597,,"00007557","0000755710",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
97,2598,,"00007557","0000755711",,"Sheepskin Coat Brown : Helen","Sheepskin Coat Brown : Helen",
98,2605,,"00007773","0000777300",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,727,,"00007773","0000777301",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,728,,"00007773","0000777302",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,729,,"00007773","0000777303",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,730,,"00007773","0000777304",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
