Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-suede-leather-trousers-sand-sue-766-p3338,185,30338,0.61%,19.14
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/red-t11,183,27331,0.67%,24.97
https://www.leathercompany.co.uk/brampton-m25,183,9170,2%,17.27
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/navy-t49,180,26803,0.67%,16.06
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/green-t6,178,15018,1.19%,19.26
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38,177,36887,0.48%,36.87
https://www.leathercompany.co.uk/delivery-returns-i5,177,3720,4.76%,12.03
https://www.leathercompany.co.uk/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595,174,55780,0.31%,11.36
https://www.leathercompany.co.uk/ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391,173,71591,0.24%,26.46
https://www.leathercompany.co.uk/home-living-c65/sheepskin-hot-water-bottle-cover-c168,173,26596,0.65%,45.23
https://www.leathercompany.co.uk/gift-accessories-c8/mens-leather-belts-c50/ashwood-m1,173,15438,1.12%,46.41
https://www.leathercompany.co.uk/home-living-c65/leather-trunks-c163,173,12137,1.43%,17.39
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/ashwood-m1/tan-t25,171,9708,1.76%,8.33
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/backpacks-c116,163,63647,0.26%,31.72
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/oxblood-t78,159,23243,0.68%,7.51
https://www.leathercompany.co.uk/luggage-c7/the-bridge-m7,158,33643,0.47%,6.36
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/tan-t25,158,13940,1.13%,10.59
https://www.leathercompany.co.uk/mens-c4/fenland-mens-nubuck-leather-jacket-rust-carter-p5770,157,9874,1.59%,9.09
https://www.leathercompany.co.uk/monomoi-m52,156,1260,12.38%,2.88
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101,155,66789,0.23%,10.61
https://www.leathercompany.co.uk/estimo-m30,154,9444,1.63%,10.32
https://www.leathercompany.co.uk/mens-c4/accessories-c27/mens-501-leather-jeans-black-lj-501-p3340,153,11371,1.35%,23.13
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blouson-casual-styles-c123,152,16896,0.9%,15.14
https://www.leathercompany.co.uk/ladies-c3/ladies-jackets-coats-c181,151,47997,0.31%,41.34
https://www.leathercompany.co.uk/handbags-c6/camel-t50,151,42758,0.35%,8.69
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/tan-t25,150,58679,0.26%,9.69
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-gloves-c28/fenland-m10,150,1471,10.2%,7.24
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/briefcases-c112,148,77853,0.19%,14.98
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/cream-t4,146,18093,0.81%,15.72
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/burgundy-t59,145,17070,0.85%,8.1
https://www.leathercompany.co.uk/mens-c4/luxury-leather-belt-and-wallet-gift-set-brown-gs-1250-p6126,143,11297,1.27%,16.33
https://www.leathercompany.co.uk/mens-c4/monomoi-mens-leather-denim-style-jacket-blue-james-p6114,142,66483,0.21%,12.47
