Number,Product,PLU,On Fashione
5060999706487,401 BLACK L,0000210505,No
5061027912993,401 PLUM S,0000214703,No
5061027913006,401 PLUM M,0000214704,No
5061027913013,401 PLUM L,0000214705,No
5061027919688,710 BLACK S,0000316903,No
5061027919695,710 BLACK M,0000316904,No
5061027919701,710 BLACK L,0000316905,No
5061027919718,710 BLACK XL,0000316906,No
5061027919749,710 BROWN S,0000318303,No
5061027919725,710 BROWN M,0000318304,No
5061027919732,710 BROWN L,0000318305,No
5061027919756,710 BROWN XL,0000318306,No
5061027919770,710 TAN M,0000319704,No
5061027919787,710 TAN L,0000319705,No
5061027919794,710 TAN XL,0000319706,No
5061042990266,714 BLACK S,0000321103,No
5061042990273,714 BLACK M,0000321104,No
5061042990280,714 BLACK L,0000321105,No
5061042990297,714 BLACK XL,0000321106,No
5061042990228,714 BROWN S,0000322503,No
5061042990235,714 BROWN M,0000322504,No
5061042990242,714 BROWN L,0000322505,No
5061042990259,714 BROWN XL,0000322506,No
5061042990426,501 BLACK S,0000323903,No
5061042990433,501 BLACK M,0000323904,No
5061042990440,501 BLACK L,0000323905,No
5061042990457,501 BLACK XL,0000323906,No
5061042990464,501 BROWN S,0000325303,No
5061042990471,501 BROWN M,0000325304,No
5061042990488,501 BROWN L,0000325305,No
5061042990495,501 BROWN XL,0000325306,No
5061042990068,750 BLACK S,0000328103,No
5061042990075,750 BLACK M,0000328104,No
5061042990082,750 BLACK L,0000328105,No
5061042990099,750 BLACK XL,0000328106,No
5061042990020,750 TAN S,0000329503,No
5061042990037,750 TAN M,0000329504,No
5061042990044,750 TAN L,0000329505,No
5061042990051,750 TAN XL,0000329506,No
5061027919923,DB-905 BROWN S/M,0001086900,No
5061027919930,DB-905 BROWN L/XL,0001086901,No
5061027919909,DB-905 TAUPE S/M,0001087300,No
5061027919916,DB-905 TAUPE L/XL,0001087301,No
5061027919886,DB-905 BLACK S/M,0001087500,No
5061027919893,DB-905 BLACK L/XL,0001087501,No
5060474521598,RUCKSACK BROWN,0001321900,No
5060474524490,RUCKSACK BROWN,0001321900,No
5060474521581,RUCKSACK CHESTNUT,0001322000,No
5060474524506,RUCKSACK CHESTNUT,0001322000,No
5060474523974,89145 BROWN,0001322300,No
5060474523967,89145 CHESTNUT,0001322400,No
5060474524346,GARETH CHESTNUT,0001322500,No
5060474522021,PEDRO COGNAC,0001322600,No
5060821283797,PEDRO COGNAC,0001322600,No
5061042991027,2199 TAN S,0001353803,No
5061042991034,2199 TAN M,0001353804,No
5061042991041,2199 TAN L,0001353805,No
5061042991058,2199 TAN XL,0001353806,No
5061042991065,2199 TAN 2XL,0001353807,No
5061042991072,2199 TAN 3XL,0001353808,No
5061042990907,2199 BLACK S,0001355203,No
5061042990914,2199 BLACK M,0001355204,No
5061042990921,2199 BLACK L,0001355205,No
5061042990938,2199 BLACK XL,0001355206,No
5061042990945,2199 BLACK 2XL,0001355207,No
5061042990952,2199 BLACK 3XL,0001355208,No
5061042990969,2199 TIMBER S,0001356603,No
5061042990976,2199 TIMBER M,0001356604,No
5061042990983,2199 TIMBER L,0001356605,No
5061042990990,2199 TIMBER XL,0001356606,No
5061042991003,2199 TIMBER 2XL,0001356607,No
5061042991010,2199 TIMBER 3XL,0001356608,No
5061042990723,2101 BLACK S,0001362203,No
5061042990730,2101 BLACK M,0001362204,No
5061042990747,2101 BLACK L,0001362205,No
5061042990754,2101 BLACK XL,0001362206,No
5061042990761,2101 BLACK 2XL,0001362207,No
5061042990778,2101 BLACK 3XL,0001362208,No
5061042990853,2101 TAN M,0001363604,No
5061042990860,2101 TAN L,0001363605,No
5061042990877,2101 TAN XL,0001363606,No
5061042990891,2101 TAN 3XL,0001363608,No
5061042990785,2101 TIMBER S,0001365003,No
5061042990792,2101 TIMBER M,0001365004,No
5061042990808,2101 TIMBER L,0001365005,No
5061042990815,2101 TIMBER XL,0001365006,No
5061042990822,2101 TIMBER 2XL,0001365007,No
5061042990839,2101 TIMBER 3XL,0001365008,No
5061042990549,1895 BLACK S,0001366403,No
5061042990556,1895 BLACK M,0001366404,No
5061042990563,1895 BLACK L,0001366405,No
5061042990570,1895 BLACK XL,0001366406,No
5061042990587,1895 BLACK 2XL,0001366407,No
5061042990594,1895 BLACK 3XL,0001366408,No
5061042990662,1895 TAN S,0001367803,No
5061042990679,1895 TAN M,0001367804,No
5061042990686,1895 TAN L,0001367805,No
5061042990693,1895 TAN XL,0001367806,No
5061042990716,1895 TAN 3XL,0001367808,No
5061042990600,1895 TIMBER S,0001369203,No
5061042990617,1895 TIMBER M,0001369204,No
5061042990624,1895 TIMBER L,0001369205,No
5061042990631,1895 TIMBER XL,0001369206,No
5061042990648,1895 TIMBER 2XL,0001369207,No
5061042990655,1895 TIMBER 3XL,0001369208,No
5061042991386,KE-176 TOBACCO S,0001614403,No
5061042991393,KE-176 TOBACCO M,0001614404,No
5061042991409,KE-176 TOBACCO L,0001614405,No
5061042991416,KE-176 TOBACCO XL,0001614406,No
5061042991423,KE-176 TOBACCO 2XL,0001614407,No
5061042991430,KE-176 TOBACCO 3XL,0001614408,No
5061042991089,2238 BLACK S,0001632003,No
5061042991096,2238 BLACK M,0001632004,No
5061042991102,2238 BLACK L,0001632005,No
5061042991119,2238 BLACK XL,0001632006,No
5061042991126,2238 BLACK 2XL,0001632007,No
5061042991133,2238 BLACK 3XL,0001632008,No
5061042991201,2238 TAN S,0001633403,No
5061042991218,2238 TAN M,0001633404,No
5061042991225,2238 TAN L,0001633405,No
5061042991232,2238 TAN XL,0001633406,No
5061042991249,2238 TAN 2XL,0001633407,No
5061042991256,2238 TAN 3XL,0001633408,No
5061042991140,2238 TIMBER S,0001634803,No
5061042991157,2238 TIMBER M,0001634804,No
5061042991164,2238 TIMBER L,0001634805,No
5061042991171,2238 TIMBER XL,0001634806,No
5061042991188,2238 TIMBER 2XL,0001634807,No
5061042991195,2238 TIMBER 3XL,0001634808,No
5060474523936,8190 BROWN,0001685400,No
5060474521611,7990 RUST,0002020100,No
5060474526401,7994 RUST,0002020200,No
5060821282431,7994 RUST,0002020200,No
5060474526395,7993 RUST,0002020300,No
5060821282417,7993 RUST,0002020300,No
5060474526425,7996 RUST,0002020400,No
5060474526418,7995 RUST,0002020500,No
5060474526432,7997 RUST,0002020600,No
5060474526449,7998 RUST,0002020700,No
5060474524179,HAROLD CHESTNUT,0002022900,No
5060474527118,1775 RUST,0002023900,No
5060474527125,1776 RUST,0002024000,No
5060474527132,1777 RUST,0002024100,No
5060474527149,1778 RUST,0002024200,No
5060474527156,1779 RUST,0002024300,No
5060474527163,1780 RUST,0002024400,No
5060474526975,TW-01 BLACK,0002024500,No
5060474526982,TW-01 BROWN,0002024600,No
5060474527101,TW-01 CHESTNUT,0002024700,No
5061042991720,KE-117 GINGER S,0002054603,No
5061042991737,KE-117 GINGER M,0002054604,No
5061042991744,KE-117 GINGER L,0002054605,No
5061042991751,KE-117 GINGER XL,0002054606,No
5061042991768,KE-117 GINGER 2XL,0002054607,No
5061042991775,KE-117 GINGER 3XL,0002054608,No
5061027912870,401 NAVY S,0002166603,No
5061027912887,401 NAVY M,0002166604,No
5061027912894,401 NAVY L,0002166605,No
5060474525367,PHIL TAN,0002300300,No
5060474525374,PHIL BLACK,0002300400,No
5060474525336,HARVEY BLACK,0002300700,No
5060474525343,FRANCIS TAN,0002300800,No
5060474525350,FRANCIS BLACK,0002300900,No
5060474526548,4556 BLACK,0002301200,No
5060474526487,4552 BLACK,0002303200,No
5060474526494,4552 TAN,0002303300,No
5060474526463,4551 BLACK,0002303400,No
5060474526470,4551 TAN,0002303500,No
5060474525275,JACK BLACK,0002303600,No
5060474525268,JACK TAN,0002303700,No
5060474525299,OSCAR BLACK,0002303800,No
5061042991447,KE-176 TAN S,0002334403,No
5061042991454,KE-176 TAN M,0002334404,No
5061042991461,KE-176 TAN L,0002334405,No
5061042991478,KE-176 TAN XL,0002334406,No
5061042991485,KE-176 TAN 2XL,0002334407,No
5061042991492,KE-176 TAN 3XL,0002334408,No
5060474525329,HARVEY TAN,0002690200,No
5060821282400,7993 BROWN,0002690500,No
5060821282424,7994 BROWN,0002690600,No
5060821288846,7995 BROWN,0002690700,No
5060821288853,7996 BROWN,0002690800,No
5060821288860,7997 BROWN,0002690900,No
5060474521673,7990 BROWN,0002691100,No
5060821283551,1776 BROWN,0002691200,No
5060821283568,1777 BROWN,0002691300,No
5060821283575,1778 BROWN,0002691400,No
5060821283582,1779 BROWN,0002691500,No
5060821283599,1780 BROWN,0002691600,No
5060474527309,1557 TAN,0002696200,No
5060474527293,1557 BLACK,0002696300,No
5060474527279,1556 BLACK,0002696400,No
5060474527286,1556 TAN,0002696500,No
5060474527255,1555 BLACK,0002696600,No
5060474527262,1555 TAN,0002696700,No
5060474527231,1554 BLACK,0002696800,No
5060474527248,1554 TAN,0002696900,No
5060474527217,1553 BLACK,0002697000,No
5060474527224,1553 TAN,0002697100,No
5060474527194,1552 BLACK,0002697200,No
5060474527200,1552 TAN,0002697300,No
5060474527170,1551 BLACK,0002697400,No
5060474527323,1558 TAN,0002697500,No
5060474527187,1551 TAN,0002697600,No
5060821288839,7999 BROWN,0002716300,No
5060474526456,7999 RUST,0002716400,No
5060821283544,1775 BROWN,0002791400,No
5060474525985,8148 BROWN,0002852700,No
5060474526067,8146 TAN,0002852900,No
5060474526029,8142 TAN,0002853200,No
5060474525909,8140 BROWN,0002853300,No
5060474526050,8145 TAN,0002855000,No
5060474526005,8140 TAN,0002855500,No
5060474526081,8148 TAN,0002855700,No
5060474525961,8146 BROWN,0002856200,No
5060474525978,8147 BROWN,0002856700,No
5060474526036,8143 TAN,0002856800,No
5060474525930,8143 BROWN,0002857000,No
5060474525916,8141 BROWN,0002857300,No
5061027919800,821 BLACK S,0002887400,No
5061027919817,821 BLACK M,0002887401,No
5061027919824,821 BLACK L,0002887402,No
5061027919831,821 BLACK XL,0002887403,No
5061027919909,DB-905 TAUPE S/M,0002913100,No
5061027919916,DB-905 TAUPE L/XL,0002913101,No
5060821286576,1660 BROWN,0003179700,No
5060474526586,1660 TAN,0003179800,No
5060821286606,1661 BROWN,0003179900,No
5060474526593,1661 TAN,0003180000,No
5060821286590,1662 BROWN,0003180100,No
5060474526609,1662 TAN,0003180200,No
5060821286583,1663 BROWN,0003180300,No
5060474526616,1663 TAN,0003180400,No
5060821280215,1666 BROWN,0003180900,No
5060821282899,1666 TAN,0003181000,No
5060821286569,1667 BROWN,0003181100,No
5060474526630,1667 TAN,0003181200,No
5060821282349,GS-1287 BLACK,0003181300,No
5060821280246,GS-1287 BROWN,0003181400,No
5060821280253,GS-1287 CHESTNUT,0003181500,No
5060474527330,1881 BROWN,0003181600,No
5060474527347,1881 CHESTNUT,0003181700,No
5060474527354,1882 BROWN,0003181800,No
5060474527361,1882 CHESTNUT,0003181900,No
5060474527378,1883 BROWN,0003182000,No
5060474527385,1883 CHESTNUT,0003182100,No
5060474527392,1884 BROWN,0003182200,No
5060474527408,1884 CHESTNUT,0003182300,No
5060474527415,1885 BROWN,0003182400,No
5060474527422,1885 CHESTNUT,0003182500,No
5060474527439,1886 BROWN,0003182600,No
5060474527446,1886 CHESTNUT,0003182700,No
5060821282905,NOAH TAN,0003186500,No
5060474525381,FRED TAN,0003186600,No
5060474525893,ROBIN TAN,0003186700,No
5060474525411,SEB TAN,0003186800,No
5060474525398,PERRY TAN,0003186900,No
5060821288754,ED TAN,0003187000,No
5060821282875,RALPH TAN,0003187100,No
5060821282882,LAUREN TAN,0003187200,No
5060821288761,11319 BLACK,0003203100,No
5060821289430,11319 CHESTNUT,0003203200,No
5060821288778,79014 BLACK,0003203300,No
5060821288785,79014 CHESTNUT,0003203400,No
5060821282356,SAVOY TAN,0003208600,No
5060474527316,1558 BLACK,0003272000,No
5060474524230,LIAM BROWN,0003610300,No
5060474524292,DOUG BROWN,0003610400,No
5060474524261,KANE BROWN,0003610500,No
5060474524247,MARCUS BROWN,0003610600,No
5060474524254,WALTER BROWN,0003610700,No
5060474524285,TOBY BROWN,0003610800,No
5060474526951,APRON BLACK,0003612300,No
5060821288709,79014 BROWN,0003691900,No
5060821281298,G-28 BLACK,0003740800,No
5060821281304,G-28 BRANDY,0003740900,No
5060821281328,G-29 BLACK,0003741000,No
5060821281335,G-29 BRANDY,0003741100,No
5060821281342,G-29 HONEY,0003741200,No
5060821281175,G-23 BLACK,0003741300,No
5060821281182,G-23 BRANDY,0003741400,No
5060821281199,G-23 HONEY,0003741500,No
5060821281113,G-21 BLACK,0003741600,No
5060821281120,G-21 BRANDY,0003741700,No
5060821281137,G-21 HONEY,0003741800,No
5060821281144,G-22 BLACK,0003741900,No
5060821281151,G-22 BRANDY,0003742000,No
5060821281168,G-22 HONEY,0003742100,No
5060821281083,G-20 BLACK,0003742200,No
5060821281090,G-20 BRANDY,0003742300,No
5060821281106,G-20 HONEY,0003742400,No
5060821281236,G-27 BLACK,0003742500,No
5060821281250,G-27 HONEY,0003742600,No
5060821281243,G-27 BRANDY,0003742700,No
5060821280185,G-24 BLACK,0003742800,No
5060821280192,G-24 BRANDY,0003742900,No
5060821280208,G-24 HONEY,0003743000,No
5060821281267,G-26 BLACK,0003743100,No
5060821281281,G-26 HONEY,0003743200,No
5060821281274,G-26 BRANDY,0003743300,No
5060821281212,G-25 BRANDY,0003743400,No
5060821281229,G-25 HONEY,0003743500,No
5060474526968,APRON TAN,0003796100,No
